File	Velocity(km/s)	Velocity_error(km/s)	Sigma(km/s)	Sigma_error(km/s)	h3	h3_error	h4	h4_error
spectrum_xpos_01_ypos_13_fiber_number_0057_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_14_fiber_number_0058_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_15_fiber_number_0059_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_16_fiber_number_0060_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_17_fiber_number_0061_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_18_fiber_number_0062_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_19_fiber_number_0063_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_20_fiber_number_0064_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_21_fiber_number_0065_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_22_fiber_number_0066_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_23_fiber_number_0067_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_24_fiber_number_0068_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_25_fiber_number_0069_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
